"filename", "language", "C++", "Skill", "Markdown", "JSON", "Diff", "CMake", "C", "Batch", "GLSL", "PowerShell", "YAML", "Makefile", "Python", "JavaScript", "Shell Script", "PostCSS", "Properties", "HTML", "XML", "Perl", "HLSL", "Objective-C++", "Rust", "comment", "blank", "total"
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\cffotypes.h", "C++", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 28, 108
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\cfftypes.h", "C++", 223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 98, 96, 417
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\compiler-macros.h", "C++", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 200, 37, 344
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftcalc.h", "C++", 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 120, 477
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftdebug.h", "C++", 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 188, 101, 443
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftdrv.h", "C++", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 44, 290
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftgloadr.h", "C++", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 38, 148
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\fthash.h", "C++", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 43, 159
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftmemory.h", "C++", 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 105, 402
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftmmtypes.h", "C++", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 24, 92
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftobjs.h", "C++", 499, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 539, 191, 1229
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftpsprop.h", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 16, 48
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftrfork.h", "C++", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 149, 32, 246
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftserv.h", "C++", 276, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 165, 55, 496
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftstream.h", "C++", 320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116, 135, 571
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\fttrace.h", "C++", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 29, 180
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftvalid.h", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 35, 161
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\psaux.h", "C++", 701, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 449, 298, 1448
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\pshints.h", "C++", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 518, 69, 700
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svbdf.h", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 21, 67
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svcfftl.h", "C++", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 24, 91
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svcid.h", "C++", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 19, 70
