Date : 2026-06-17 22:04:20
Directory : c:\ws-code\ws-kwik\kwik-ui
Total : 1855 files,  555037 codes, 127968 comments, 105109 blanks, all 788114 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\sfnt\ttkern.h                                                      | C++           |         16 |         18 |         16 |         50 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\sfnt\ttload.c                                                      | C             |        889 |        394 |        234 |      1,517 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\sfnt\ttload.h                                                      | C++           |         55 |         18 |         39 |        112 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\sfnt\ttmtx.c                                                       | C             |        189 |        100 |         50 |        339 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\sfnt\ttmtx.h                                                       | C++           |         21 |         17 |         17 |         55 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\sfnt\ttpost.c                                                      | C             |        271 |        107 |        107 |        485 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\sfnt\ttpost.h                                                      | C++           |         14 |         18 |         15 |         47 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\sfnt\ttsbit.c                                                      | C             |      1,226 |        136 |        356 |      1,718 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\sfnt\ttsbit.h                                                      | C++           |         27 |         17 |         19 |         63 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\sfnt\ttsvg.c                                                       | C             |        275 |         44 |        105 |        424 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\sfnt\ttsvg.h                                                       | C++           |         15 |         17 |         12 |         44 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\sfnt\woff2tags.c                                                   | C             |         79 |         27 |         14 |        120 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\sfnt\woff2tags.h                                                   | C++           |         11 |         17 |         14 |         42 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\smooth\ftgrays.c                                                   | C             |      1,343 |        346 |        463 |      2,152 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\smooth\ftgrays.h                                                   | C++           |         15 |         25 |         11 |         51 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\smooth\ftsmerrs.h                                                  | C++           |          9 |         23 |         11 |         43 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\smooth\ftsmooth.c                                                  | C             |        485 |         62 |        146 |        693 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\smooth\ftsmooth.h                                                  | C++           |          7 |         17 |         14 |         38 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\smooth\module.mk                                                   | Makefile      |          5 |         12 |          7 |         24 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\smooth\rules.mk                                                    | Makefile      |         19 |         33 |         22 |         74 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\smooth\smooth.c                                                    | C             |          3 |         17 |          6 |         26 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\svg\ftsvg.c                                                        | C             |        231 |         26 |         97 |        354 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\svg\ftsvg.h                                                        | C++           |          9 |         17 |         10 |         36 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\svg\module.mk                                                      | Makefile      |          5 |         12 |          7 |         24 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\svg\rules.mk                                                       | Makefile      |         18 |         33 |         20 |         71 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\svg\svg.c                                                          | C             |          3 |         17 |          5 |         25 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\svg\svgtypes.h                                                     | C++           |         16 |         17 |         10 |         43 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\tools\afblue.pl                                                    | Perl          |        340 |         68 |        144 |        552 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\tools\apinames.c                                                   | C             |        388 |         34 |        148 |        570 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\tools\chktrcmp.py                                                  | Python        |         84 |         18 |         18 |        120 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\tools\cordic.py                                                    | Python        |         20 |          3 |         10 |         33 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\tools\ftrandom\Makefile                                            | Makefile      |         29 |          6 |         11 |         46 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\tools\ftrandom\ftrandom.c                                          | C             |        544 |         41 |        136 |        721 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\tools\glnames.py                                                   | Python        |      5,139 |        220 |        175 |      5,534 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\tools\make_distribution_archives.py                                | Python        |        151 |         19 |         39 |        209 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\tools\test_afm.c                                                   | C             |        114 |          4 |         39 |        157 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\tools\test_bbox.c                                                  | C             |        142 |          8 |         38 |        188 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\tools\test_trig.c                                                  | C             |        188 |          2 |         68 |        258 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\tools\vms_shorten_symbol.c                                         | C             |        141 |         81 |         29 |        251 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\truetype\module.mk                                                 | Makefile      |          5 |         12 |          7 |         24 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\truetype\rules.mk                                                  | Makefile      |         22 |         33 |         21 |         76 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\truetype\truetype.c                                                | C             |          7 |         17 |          6 |         30 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\truetype\ttdriver.c                                                | C             |        398 |        148 |        150 |        696 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\truetype\ttdriver.h                                                | C++           |          7 |         17 |         12 |         36 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\truetype\tterrors.h                                                | C++           |          9 |         23 |         11 |         43 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\truetype\ttgload.c                                                 | C             |      1,674 |        440 |        528 |      2,642 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\truetype\ttgload.h                                                 | C++           |         27 |         17 |         18 |         62 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\truetype\ttgxvar.c                                                 | C             |      3,220 |        721 |        954 |      4,895 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\truetype\ttgxvar.h                                                 | C++           |        206 |        170 |         83 |        459 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\truetype\ttinterp.c                                                | C             |      4,473 |      1,772 |      1,315 |      7,560 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\truetype\ttinterp.h                                                | C++           |        169 |        228 |         91 |        488 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\truetype\ttobjs.c                                                  | C             |        796 |        351 |        232 |      1,379 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\truetype\ttobjs.h                                                  | C++           |        109 |        151 |         78 |        338 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\truetype\ttpload.c                                                 | C             |        377 |        157 |        132 |        666 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\truetype\ttpload.h                                                 | C++           |         33 |         17 |         25 |         75 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type1\module.mk                                                    | Makefile      |          5 |         12 |          7 |         24 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type1\rules.mk                                                     | Makefile      |         23 |         33 |         21 |         77 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type1\t1afm.c                                                      | C             |        266 |         56 |         92 |        414 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type1\t1afm.h                                                      | C++           |         23 |         17 |         14 |         54 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type1\t1driver.c                                                   | C             |        578 |         86 |        144 |        808 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type1\t1driver.h                                                   | C++           |          7 |         17 |         12 |         36 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type1\t1errors.h                                                   | C++           |          9 |         22 |         11 |         42 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type1\t1gload.c                                                    | C             |        411 |         72 |        126 |        609 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type1\t1gload.h                                                    | C++           |         20 |         17 |         16 |         53 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type1\t1load.c                                                     | C             |      1,854 |        350 |        552 |      2,756 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type1\t1load.h                                                     | C++           |         69 |         20 |         38 |        127 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type1\t1objs.c                                                     | C             |        376 |        137 |        143 |        656 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type1\t1objs.h                                                     | C++           |         51 |         68 |         42 |        161 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type1\t1parse.c                                                    | C             |        278 |        114 |         93 |        485 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type1\t1parse.h                                                    | C++           |         52 |         56 |         30 |        138 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type1\t1tokens.h                                                   | C++           |         95 |         18 |         31 |        144 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type1\type1.c                                                      | C             |          7 |         17 |          6 |         30 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type42\module.mk                                                   | Makefile      |          5 |         12 |          7 |         24 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type42\rules.mk                                                    | Makefile      |         20 |         33 |         21 |         74 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type42\t42drivr.c                                                  | C             |        132 |         57 |         60 |        249 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type42\t42drivr.h                                                  | C++           |          7 |         17 |         13 |         37 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type42\t42error.h                                                  | C++           |          9 |         22 |         11 |         42 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type42\t42objs.c                                                   | C             |        470 |         74 |        156 |        700 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type42\t42objs.h                                                   | C++           |         59 |         22 |         43 |        124 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type42\t42parse.c                                                  | C             |        934 |        152 |        266 |      1,352 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type42\t42parse.h                                                  | C++           |         42 |         19 |         31 |         92 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type42\t42types.h                                                  | C++           |         25 |         17 |         15 |         57 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\type42\type42.c                                                    | C             |          4 |         17 |          6 |         27 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\winfonts\fnterrs.h                                                 | C++           |          9 |         23 |         11 |         43 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\winfonts\module.mk                                                 | Makefile      |          5 |         12 |          7 |         24 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\winfonts\rules.mk                                                  | Makefile      |         17 |         31 |         21 |         69 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\winfonts\winfnt.c                                                  | C             |        878 |         77 |        265 |      1,220 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\winfonts\winfnt.h                                                  | C++           |         87 |         26 |         52 |        165 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\tests\README.md                                                        | Markdown      |         13 |          0 |         10 |         23 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\tests\issue-1063\main.c                                                | C             |         28 |          8 |         13 |         49 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\tests\scripts\download-test-fonts.py                                   | Python        |        143 |        117 |         43 |        303 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\.ci\build-win.sh                                                       | Shell Script  |         41 |          2 |          7 |         50 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\.ci\deploy-docs.sh                                                     | Shell Script  |         24 |          2 |          8 |         34 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\.codecov.yml                                                           | YAML          |          9 |          0 |          2 |         11 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\.github\dependabot.yml                                                 | YAML          |         10 |          0 |          1 |         11 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\.github\workflows\arm.yml                                              | YAML          |         22 |          0 |          4 |         26 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\.github\workflows\c++-versions.yml                                     | YAML          |         41 |          0 |          5 |         46 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\.github\workflows\cifuzz.yml                                           | YAML          |         26 |          0 |          3 |         29 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\.github\workflows\configs-build.yml                                    | YAML          |         33 |          1 |          6 |         40 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\.github\workflows\coverity-scan.yml                                    | YAML          |         33 |          1 |          9 |         43 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\.github\workflows\crossbuild-mingw.yml                                 | YAML          |         80 |          0 |          6 |         86 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\.github\workflows\docs.yml                                             | YAML          |         75 |          0 |          5 |         80 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\.github\workflows\linux.yml                                            | YAML          |         94 |          0 |          6 |        100 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\.github\workflows\macos.yml                                            | YAML          |         59 |          0 |          5 |         64 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\.github\workflows\msvc.yml                                             | YAML          |         56 |          0 |          6 |         62 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\.github\workflows\msys2.yml                                            | YAML          |         69 |          0 |          6 |         75 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\.github\workflows\rust.yml                                             | YAML          |         62 |          0 |          5 |         67 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\.github\workflows\sanitizers.yml                                       | YAML          |         66 |          0 |          5 |         71 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\.github\workflows\scorecard.yml                                        | YAML          |         36 |         20 |          9 |         65 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\.github\workflows\valgrind.yml                                         | YAML          |         40 |          0 |          5 |         45 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\AGENTS.md                                                              | Markdown      |         87 |          0 |         27 |        114 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\BUILD.md                                                               | Markdown      |         44 |          0 |         24 |         68 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\CLAUDE.md                                                              | Markdown      |          1 |          0 |          0 |          1 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\CMakeLists.txt                                                         | CMake         |      1,122 |          0 |        135 |      1,257 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\CODE_OF_AI_CONDUCT.md                                                  | Markdown      |         40 |          0 |         11 |         51 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\CONFIG.md                                                              | Markdown      |        114 |          0 |         40 |        154 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\README.md                                                              | Markdown      |        163 |          0 |         58 |        221 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\README.mingw.md                                                        | Markdown      |        149 |          0 |         68 |        217 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\README.python.md                                                       | Markdown      |         25 |          0 |         11 |         36 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\RELEASING.md                                                           | Markdown      |         26 |          0 |         16 |         42 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\SECURITY.md                                                            | Markdown      |         14 |          0 |          7 |         21 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\TESTING.md                                                             | Markdown      |         32 |          0 |         16 |         48 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\docs\HarfBuzz.svg                                                      | XML           |          5 |          3 |          1 |          9 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\docs\harfbuzz-docs.xml                                                 | XML           |        206 |          4 |         15 |        225 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\docs\repacker.md                                                       | Markdown      |        212 |          0 |         83 |        295 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\docs\serializer.md                                                     | Markdown      |        131 |          0 |         48 |        179 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\docs\subset-preprocessing.md                                           | Markdown      |        214 |          0 |         15 |        229 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\docs\usermanual-buffers-language-script-and-direction.xml              | XML           |        407 |          0 |          6 |        413 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\docs\usermanual-clusters.xml                                           | XML           |        699 |          0 |          3 |        702 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\docs\usermanual-fonts-and-faces.xml                                    | XML           |        512 |          0 |          8 |        520 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\docs\usermanual-getting-started.xml                                    | XML           |        298 |          0 |         18 |        316 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\docs\usermanual-glyph-information.xml                                  | XML           |         14 |          0 |          1 |         15 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\docs\usermanual-install-harfbuzz.xml                                   | XML           |        345 |          0 |         28 |        373 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\docs\usermanual-integration.xml                                        | XML           |        635 |          8 |         10 |        653 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\docs\usermanual-object-model.xml                                       | XML           |        255 |          0 |         12 |        267 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\docs\usermanual-opentype-features.xml                                  | XML           |        331 |          0 |          6 |        337 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\docs\usermanual-shaping-concepts.xml                                   | XML           |        342 |          0 |         27 |        369 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\docs\usermanual-utilities.xml                                          | XML           |        237 |          0 |         11 |        248 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\docs\usermanual-what-is-harfbuzz.xml                                   | XML           |        424 |          0 |         14 |        438 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\docs\wasm-shaper.md                                                    | Markdown      |        390 |          0 |        155 |        545 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\perf\README.md                                                         | Markdown      |         66 |          0 |         18 |         84 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\perf\benchmark-font.cc                                                 | C++           |        387 |          0 |         58 |        445 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\perf\benchmark-gpu.cc                                                  | C++           |        115 |         25 |         26 |        166 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\perf\benchmark-map.cc                                                  | C++           |         75 |          5 |         24 |        104 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\perf\benchmark-ot.cc                                                   | C++           |         33 |          0 |          7 |         40 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\perf\benchmark-set.cc                                                  | C++           |        113 |          6 |         26 |        145 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\perf\benchmark-shape.cc                                                | C++           |        198 |          2 |         40 |        240 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\perf\benchmark-subset.cc                                               | C++           |        228 |          4 |         45 |        277 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\perf\hb-benchmark.hh                                                   | C++           |         18 |         25 |         11 |         54 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\replace-enum-strings.cmake                                             | CMake         |         17 |          0 |          4 |         21 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Color\CBDT\CBDT.hh                                              | C++           |        837 |         60 |        137 |      1,034 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Color\COLR\COLR.hh                                              | C++           |      2,336 |         84 |        437 |      2,857 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Color\COLR\colrv1-closure.hh                                    | C++           |         87 |         29 |         22 |        138 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Color\CPAL\CPAL.hh                                              | C++           |        270 |         44 |         54 |        368 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Color\sbix\sbix.hh                                              | C++           |        327 |         51 |         72 |        450 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Color\svg\svg.hh                                                | C++           |        678 |         33 |        119 |        830 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\Common\Coverage.hh                                       | C++           |        334 |         33 |         28 |        395 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\Common\CoverageFormat1.hh                                | C++           |         87 |         28 |         21 |        136 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\Common\CoverageFormat2.hh                                | C++           |        179 |         37 |         26 |        242 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\Common\RangeRecord.hh                                    | C++           |         52 |         31 |         15 |         98 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GDEF\GDEF.hh                                             | C++           |        858 |         78 |        125 |      1,061 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\Anchor.hh                                           | C++           |         73 |          2 |         10 |         85 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\AnchorFormat1.hh                                    | C++           |         38 |          0 |          9 |         47 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\AnchorFormat2.hh                                    | C++           |         47 |          0 |         12 |         59 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\AnchorFormat3.hh                                    | C++           |         99 |          4 |         21 |        124 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\AnchorMatrix.hh                                     | C++           |         77 |          1 |         17 |         95 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\ChainContextPos.hh                                  | C++           |         10 |          0 |          5 |         15 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\Common.hh                                           | C++           |         22 |          3 |          9 |         34 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\ContextPos.hh                                       | C++           |         10 |          0 |          5 |         15 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\CursivePos.hh                                       | C++           |         29 |          0 |          7 |         36 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\CursivePosFormat1.hh                                | C++           |        249 |         26 |         58 |        333 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\ExtensionPos.hh                                     | C++           |         13 |          0 |          5 |         18 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\GPOS.hh                                             | C++           |        154 |         16 |         37 |        207 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\LigatureArray.hh                                    | C++           |         51 |          4 |         14 |         69 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\MarkArray.hh                                        | C++           |        110 |          2 |         23 |        135 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\MarkBasePos.hh                                      | C++           |         35 |          0 |          7 |         42 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\MarkBasePosFormat1.hh                               | C++           |        192 |         17 |         42 |        251 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\MarkLigPos.hh                                       | C++           |         35 |          0 |          7 |         42 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\MarkLigPosFormat1.hh                                | C++           |        167 |         13 |         39 |        219 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\MarkMarkPos.hh                                      | C++           |         35 |          0 |          8 |         43 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\MarkMarkPosFormat1.hh                               | C++           |        184 |         13 |         43 |        240 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\MarkRecord.hh                                       | C++           |         40 |          1 |         11 |         52 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\PairPos.hh                                          | C++           |         40 |          0 |          7 |         47 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\PairPosFormat1.hh                                   | C++           |        198 |         13 |         44 |        255 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\PairPosFormat2.hh                                   | C++           |        301 |         30 |         59 |        390 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\PairSet.hh                                          | C++           |        171 |          4 |         36 |        211 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\PairValueRecord.hh                                  | C++           |         76 |          3 |         21 |        100 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\PosLookup.hh                                        | C++           |         61 |          0 |         19 |         80 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\PosLookupSubTable.hh                                | C++           |         70 |          0 |         10 |         80 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\harfbuzz\src\OT\Layout\GPOS\SinglePos.hh                                        | C++           |         83 |          0 |         16 |         99 |
