Date : 2026-06-17 22:04:20
Directory : c:\ws-code\ws-kwik\kwik-ui
Total : 1855 files,  555037 codes, 127968 comments, 105109 blanks, all 788114 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| third_party\harfbuzz\src\wasm\graphite                                                                                 |          2 |        236 |          5 |         39 |        280 |
| third_party\harfbuzz\src\wasm\rust                                                                                     |          1 |        319 |        114 |         32 |        465 |
| third_party\harfbuzz\src\wasm\rust\harfbuzz-wasm                                                                       |          1 |        319 |        114 |         32 |        465 |
| third_party\harfbuzz\src\wasm\rust\harfbuzz-wasm\src                                                                   |          1 |        319 |        114 |         32 |        465 |
| third_party\harfbuzz\src\wasm\sample                                                                                   |          4 |         96 |          2 |         33 |        131 |
| third_party\harfbuzz\src\wasm\sample\c                                                                                 |          3 |         75 |          0 |         31 |        106 |
| third_party\harfbuzz\src\wasm\sample\rust                                                                              |          1 |         21 |          2 |          2 |         25 |
| third_party\harfbuzz\src\wasm\sample\rust\hello-wasm                                                                   |          1 |         21 |          2 |          2 |         25 |
| third_party\harfbuzz\src\wasm\sample\rust\hello-wasm\src                                                               |          1 |         21 |          2 |          2 |         25 |
| third_party\harfbuzz\test                                                                                              |        122 |     18,447 |      3,024 |      4,257 |     25,728 |
| third_party\harfbuzz\test\api                                                                                          |         72 |     13,941 |      2,432 |      3,309 |     19,682 |
| third_party\harfbuzz\test\fuzzing                                                                                      |         15 |      1,423 |        494 |        317 |      2,234 |
| third_party\harfbuzz\test\shape                                                                                        |          8 |      1,370 |         58 |        305 |      1,733 |
| third_party\harfbuzz\test\shape (Files)                                                                                |          4 |        857 |         31 |        172 |      1,060 |
| third_party\harfbuzz\test\shape\data                                                                                   |          4 |        513 |         27 |        133 |        673 |
| third_party\harfbuzz\test\shape\data\aots                                                                              |          2 |        367 |         25 |         86 |        478 |
| third_party\harfbuzz\test\shape\data\text-rendering-tests                                                              |          2 |        146 |          2 |         47 |        195 |
| third_party\harfbuzz\test\shape\data\text-rendering-tests (Files)                                                      |          1 |        104 |          2 |         28 |        134 |
| third_party\harfbuzz\test\shape\data\text-rendering-tests\fonts                                                        |          1 |         42 |          0 |         19 |         61 |
| third_party\harfbuzz\test\subset                                                                                       |          5 |        551 |         27 |        141 |        719 |
| third_party\harfbuzz\test\threads                                                                                      |          2 |        299 |          6 |         65 |        370 |
| third_party\harfbuzz\test\vector                                                                                       |         20 |        863 |          7 |        120 |        990 |
| third_party\harfbuzz\test\vector (Files)                                                                               |          3 |        527 |          7 |        103 |        637 |
