"filename", "language", "JavaScript", "C++", "C", "XML", "CMake", "Markdown", "Batch", "JSON", "Diff", "YAML", "GLSL", "PowerShell", "Shell Script", "Properties", "Makefile", "HTML", "Python", "HLSL", "Objective-C++", "Skill", "PostCSS", "Lua", "Perl", "Rust", "comment", "blank", "total"
"c:\ws-code\ws-kwik\kwik-ui\examples\list.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\ws-code\ws-kwik\kwik-ui\examples\radiobutton.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 37
"c:\ws-code\ws-kwik\kwik-ui\examples\stack.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 40
"c:\ws-code\ws-kwik\kwik-ui\examples\text.js", "JavaScript", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 56
"c:\ws-code\ws-kwik\kwik-ui\examples\textarea.js", "JavaScript", 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 112
"c:\ws-code\ws-kwik\kwik-ui\examples\ui_demo.js", "JavaScript", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 22, 179
"c:\ws-code\ws-kwik\kwik-ui\examples\view.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 73
"c:\ws-code\ws-kwik\kwik-ui\examples\vk_resize_test.cpp", "C++", 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 20, 178
"c:\ws-code\ws-kwik\kwik-ui\examples\win32_window_example.cpp", "C++", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\ws-code\ws-kwik\kwik-ui\include\svg_decoder.h", "C++", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 1, 27
"c:\ws-code\ws-kwik\kwik-ui\modules\app\application.cppm", "C++", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 91, 7, 169
"c:\ws-code\ws-kwik\kwik-ui\modules\bridge\color_parser.cppm", "C++", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5, 32
"c:\ws-code\ws-kwik\kwik-ui\modules\bridge\element_parser.cppm", "C++", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 4, 113
"c:\ws-code\ws-kwik\kwik-ui\modules\bridge\prop_bus.cppm", "C++", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 11
"c:\ws-code\ws-kwik\kwik-ui\modules\bridge\props_parser.cppm", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 11, 73
"c:\ws-code\ws-kwik\kwik-ui\modules\core\constraints.cppm", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 20, 115
"c:\ws-code\ws-kwik\kwik-ui\modules\core\log.cppm", "C++", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 15, 93
"c:\ws-code\ws-kwik\kwik-ui\modules\core\types.cppm", "C++", 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 33, 225
"c:\ws-code\ws-kwik\kwik-ui\modules\element\button.cppm", "C++", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 65
"c:\ws-code\ws-kwik\kwik-ui\modules\element\checkbox.cppm", "C++", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 4, 60
"c:\ws-code\ws-kwik\kwik-ui\modules\element\dropdown.cppm", "C++", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 7, 74
"c:\ws-code\ws-kwik\kwik-ui\modules\element\image.cppm", "C++", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 72
"c:\ws-code\ws-kwik\kwik-ui\modules\element\input.cppm", "C++", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 4, 105
"c:\ws-code\ws-kwik\kwik-ui\modules\element\props.cppm", "C++", 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 18, 245
"c:\ws-code\ws-kwik\kwik-ui\modules\element\radiobutton.cppm", "C++", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 51
"c:\ws-code\ws-kwik\kwik-ui\modules\element\text.cppm", "C++", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5, 59
"c:\ws-code\ws-kwik\kwik-ui\modules\element\textarea.cppm", "C++", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 5, 81
"c:\ws-code\ws-kwik\kwik-ui\modules\element\view.cppm", "C++", 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 266, 37, 520
"c:\ws-code\ws-kwik\kwik-ui\modules\engine\bindings.cppm", "C++", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 9, 53
"c:\ws-code\ws-kwik\kwik-ui\modules\engine\js_value.cppm", "C++", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 19, 98
"c:\ws-code\ws-kwik\kwik-ui\modules\engine\quickjs_context.cppm", "C++", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 14, 155
"c:\ws-code\ws-kwik\kwik-ui\modules\engine\quickjs_runtime.cppm", "C++", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 22
"c:\ws-code\ws-kwik\kwik-ui\modules\event\event.cppm", "C++", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 5, 176
"c:\ws-code\ws-kwik\kwik-ui\modules\layout\flex_layout.cppm", "C++", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\ws-code\ws-kwik\kwik-ui\modules\layout\grid_layout.cppm", "C++", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"c:\ws-code\ws-kwik\kwik-ui\modules\layout\list_layout.cppm", "C++", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 66
"c:\ws-code\ws-kwik\kwik-ui\modules\layout\radio_group.cppm", "C++", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 4, 41
